Marca,Modelo,Capacidad,Extras,Precio (S/.),Enlace,Tienda
Apple,iPhone 14 Plus,128 GB,-,4999,https://www.falabella.com.pe/falabella-pe/product/prod16880476,Falabella
Apple,iPhone 13,128 GB,-,5099,https://www.falabella.com.pe/falabella-pe/product/prod16650024,Falabella
Apple,iPhone 14 Pro Max,128 GB,-,6299,https://www.falabella.com.pe/falabella-pe/product/prod16880480,Falabella
Apple,iPhone 14,128 GB,Audífonos AirPods 2nda Generación,5849,https://www.falabella.com.pe/falabella-pe/product/prod17270084,Falabella
Apple,iPhone 11,64 GB,-,2299,https://www.falabella.com.pe/falabella-pe/product/prod16650018,Falabella
Apple,iPhone 11,128 GB,Case iPhone 11 Transparente,3599,https://www.falabella.com.pe/falabella-pe/product/prod16670032,Falabella
Apple,iPhone 14 Pro,128 GB,-,5499,https://www.falabella.com.pe/falabella-pe/product/prod16880478,Falabella
Apple,iPhone SE,64 GB,-,1499,https://www.falabella.com.pe/falabella-pe/product/18673479,Falabella
Apple,iPhone 11,64 GB,Case iPhone 11 Transparente,3299,https://www.falabella.com.pe/falabella-pe/product/prod16670031,Falabella
Apple,iPhone 14,128 GB,Audífonos AirPods 2nda Generación,5849,https://www.falabella.com.pe/falabella-pe/product/prod17270079,Falabella
Apple,iPhone 14 Pro,256 GB,-,5999,https://www.falabella.com.pe/falabella-pe/product/prod16880479,Falabella
Apple,iPhone 14 Plus,256 GB,-,5499,https://www.falabella.com.pe/falabella-pe/product/prod16880477,Falabella
Apple,iPhone 14,128 GB,-,4399,https://www.falabella.com.pe/falabella-pe/product/prod16880474,Falabella
Apple,iPhone 13,256 GB,-,3799,https://www.falabella.com.pe/falabella-pe/product/prod16650025,Falabella
Apple,iPhone 11,128 GB,-,2599,https://www.falabella.com.pe/falabella-pe/product/prod16650020,Falabella
Apple,iPhone 14,256 GB,-,4899,https://www.falabella.com.pe/falabella-pe/product/prod16880475,Falabella
Apple,iPhone 14,128 GB,Audífonos AirPods 2nda Generación,5849,https://www.falabella.com.pe/falabella-pe/product/prod17270078,Falabella
Apple,iPhone 14 Pro Max,256 GB,-,7499,https://www.falabella.com.pe/falabella-pe/product/prod16880481,Falabella
Apple,iPhone 14,128 GB,Audífonos AirPods 2nda Generación,5849,https://www.falabella.com.pe/falabella-pe/product/prod17270080,Falabella
