Marca,Modelo,Capacidad,Color,Precio (S/.),Tienda,Extras
Apple,iPhone 14,128 GB,No especificado,3799,Falabella,-
Apple,iPhone 14,128 GB,Azul,3899,Hiraoka,-
Apple,iPhone 14,256 GB,No especificado,4099,Falabella,-
Apple,iPhone 14,128 GB,No especificado,4299,Mercado Libre,-
Apple,iPhone 14 Plus,128 GB,Blanco estelar,4299,Mercado Libre,-
Apple,iPhone 14 Plus,128 GB,Azul,4299,Mercado Libre,-
Apple,iPhone 14 Plus,128 GB,No especificado,4299,Falabella,-
Apple,iPhone 14 Plus,128 GB,(PRODUCT)RED,4299,Mercado Libre,-
Apple,iPhone 14,128 GB,Morado,4299,Mercado Libre,-
Apple,iPhone 14 Plus,128 GB,No especificado,4299,Mercado Libre,-
Apple,iPhone 14 Plus,256 GB,No especificado,4799,Falabella,-
Apple,iPhone 14,128 GB,Blanco Estelar,4999,Hiraoka,-
Apple,iPhone 14 Plus,256 GB,Rojo,4999,Hiraoka,-
Apple,iPhone 14,128 GB,Medianoche,4999,Hiraoka,-
Apple,iPhone 14 Pro,128 GB,No especificado,5099,Falabella,-
Apple,iPhone 14 Pro,128 GB,Negro Espacial,5199,Hiraoka,-
Apple,iPhone 14 Pro,128 GB,Plata,5199,Hiraoka,-
Apple,iPhone 14 Pro,128 GB,Morado Oscuro,5199,Hiraoka,-
Apple,iPhone 14 Pro,128 GB,Color plata,5299,Mercado Libre,-
Apple,iPhone 14 Plus,256 GB,(PRODUCT)RED,5299,Mercado Libre,-
Apple,iPhone 14 Plus,256 GB,No especificado,5299,Mercado Libre,-
Apple,iPhone 14 Plus,256 GB,Morado,5299,Mercado Libre,-
Apple,iPhone 14 Plus,256 GB,Blanco estelar,5299,Mercado Libre,-
Apple,iPhone 14 Pro,128 GB,Negro espacial,5299,Mercado Libre,-
Apple,iPhone 14 Pro,128 GB,No especificado,5299,Mercado Libre,-
Apple,iPhone 14 Plus,256 GB,Medianoche,5299,Mercado Libre,-
Apple,iPhone 14 Pro,128 GB,Color oro,5299,Mercado Libre,-
Apple,iPhone 14 Pro,128 GB,Morado oscuro,5299,Mercado Libre,-
Apple,iPhone 14 Plus,256 GB,Azul,5299,Mercado Libre,-
Apple,iPhone 14,256 GB,Blanco Estelar,5599,Hiraoka,-
Apple,iPhone 14 Pro,256 GB,No especificado,5599,Falabella,-
Apple,iPhone 14 Plus,128 GB,Medianoche,5599,Hiraoka,-
Apple,iPhone 14 Plus,128 GB,Blanco Estelar,5599,Hiraoka,-
Apple,iPhone 14 Plus,128 GB,Morado,5599,Hiraoka,-
Apple,iPhone 14,256 GB,Medianoche,5599,Hiraoka,-
Apple,iPhone 14 Pro Max,128 GB,Negro espacial,5699,Mercado Libre,-
Apple,iPhone 14 Pro Max,128 GB,Color plata,5699,Mercado Libre,-
Apple,iPhone 14 Pro Max,128 GB,No especificado,5699,Mercado Libre,-
Apple,iPhone 14 Pro Max,128 GB,No especificado,5699,Falabella,-
Apple,iPhone 14 Pro Max,128 GB,Color oro,5699,Mercado Libre,-
Apple,iPhone 14 Pro Max,128 GB,Negro Espacial,5799,Hiraoka,-
Apple,iPhone 14 Pro Max,128 GB,Morado Oscuro,5799,Hiraoka,-
Apple,iPhone 14 Pro Max,128 GB,Plata,5799,Hiraoka,-
Apple,iPhone 14,128 GB,No especificado,5849,Falabella,Audífonos AirPods 2nda Generación
Apple,iPhone 14,128 GB,No especificado,5849,Falabella,Audífonos AirPods 2nda Generación
Apple,iPhone 14,128 GB,No especificado,5849,Falabella,Audífonos AirPods 2nda Generación
Apple,iPhone 14,128 GB,No especificado,5849,Falabella,Audífonos AirPods 2nda Generación
Apple,iPhone 14 Pro,256 GB,No especificado,5899,Mercado Libre,-
Apple,iPhone 14 Pro,256 GB,Color oro,5899,Mercado Libre,-
Apple,iPhone 14 Pro,256 GB,Morado oscuro,5899,Mercado Libre,-
Apple,iPhone 14 Pro Max,256 GB,No especificado,5899,Falabella,-
Apple,iPhone 14 Plus,256 GB,Medianoche,6299,Hiraoka,-
Apple,iPhone 14 Plus,256 GB,Morado,6299,Hiraoka,-
Apple,iPhone 14 Pro Max,256 GB,No especificado,6299,Mercado Libre,-
Apple,iPhone 14 Pro Max,256 GB,Color plata,6299,Mercado Libre,-
Apple,iPhone 14 Pro Max,256 GB,Negro espacial,6299,Mercado Libre,-
Apple,iPhone 14 Pro Max,256 GB,Morado oscuro,6299,Mercado Libre,-
Apple,iPhone 14 Plus,256 GB,Blanco Estelar,6299,Hiraoka,-
